date_sk,date,year,month,month_name,day_number,day_name,day_of_week,quarter,week_of_year,is_weekend,holiday_flag
20101020,2010-10-20,2010,10,October,20,Wednesday,3,4,42,No,No
20110411,2011-04-11,2011,4,April,11,Monday,1,2,15,No,No
20110205,2011-02-05,2011,2,February,5,Saturday,6,1,5,Yes,No
20100304,2010-03-04,2010,3,March,4,Thursday,4,1,9,No,No
20100528,2010-05-28,2010,5,May,28,Friday,5,2,21,No,No
20100104,2010-01-04,2010,1,January,4,Monday,1,1,1,No,No
20100912,2010-09-12,2010,9,September,12,Sunday,0,3,36,Yes,No
20100916,2010-09-16,2010,9,September,16,Thursday,4,3,37,No,No
20100628,2010-06-28,2010,6,June,28,Monday,1,2,26,No,No
20100315,2010-03-15,2010,3,March,15,Monday,1,1,11,No,No
20110516,2011-05-16,2011,5,May,16,Monday,1,2,20,No,No
20100406,2010-04-06,2010,4,April,6,Tuesday,2,2,14,No,No
20091207,2009-12-07,2009,12,December,7,Monday,1,4,50,No,No
20100718,2010-07-18,2010,7,July,18,Sunday,0,3,28,Yes,No
20110209,2011-02-09,2011,2,February,9,Wednesday,3,1,6,No,No
20100612,2010-06-12,2010,6,June,12,Saturday,6,2,23,Yes,No
20100419,2010-04-19,2010,4,April,19,Monday,1,2,16,No,No
20100519,2010-05-19,2010,5,May,19,Wednesday,3,2,20,No,No
20101027,2010-10-27,2010,10,October,27,Wednesday,3,4,43,No,No
20110407,2011-04-07,2011,4,April,7,Thursday,4,2,14,No,No
20091106,2009-11-06,2009,11,November,6,Friday,5,4,45,No,No
20101101,2010-11-01,2010,11,November,1,Monday,1,4,44,No,No
20101031,2010-10-31,2010,10,October,31,Sunday,0,4,43,Yes,No
20100106,2010-01-06,2010,1,January,6,Wednesday,3,1,1,No,No
20100113,2010-01-13,2010,1,January,13,Wednesday,3,1,2,No,No
20100622,2010-06-22,2010,6,June,22,Tuesday,2,2,25,No,No
20100923,2010-09-23,2010,9,September,23,Thursday,4,3,38,No,No
20100708,2010-07-08,2010,7,July,8,Thursday,4,3,27,No,No
20100307,2010-03-07,2010,3,March,7,Sunday,0,1,9,Yes,No
20101223,2010-12-23,2010,12,December,23,Thursday,4,4,51,No,No
20110424,2011-04-24,2011,4,April,24,Sunday,0,2,16,Yes,No
20100423,2010-04-23,2010,4,April,23,Friday,5,2,16,No,No
20110130,2011-01-30,2011,1,January,30,Sunday,0,1,4,Yes,No
20100424,2010-04-24,2010,4,April,24,Saturday,6,2,16,Yes,No
20101215,2010-12-15,2010,12,December,15,Wednesday,3,4,50,No,No
20100705,2010-07-05,2010,7,July,5,Monday,1,3,27,No,No
20100619,2010-06-19,2010,6,June,19,Saturday,6,2,24,Yes,No
20091123,2009-11-23,2009,11,November,23,Monday,1,4,48,No,No
20091213,2009-12-13,2009,12,December,13,Sunday,0,4,50,Yes,No
20100526,2010-05-26,2010,5,May,26,Wednesday,3,2,21,No,No
20110510,2011-05-10,2011,5,May,10,Tuesday,2,2,19,No,No
20100626,2010-06-26,2010,6,June,26,Saturday,6,2,25,Yes,No
20100112,2010-01-12,2010,1,January,12,Tuesday,2,1,2,No,No
20100314,2010-03-14,2010,3,March,14,Sunday,0,1,10,Yes,No
20110119,2011-01-19,2011,1,January,19,Wednesday,3,1,3,No,No
20101202,2010-12-02,2010,12,December,2,Thursday,4,4,48,No,No
20100630,2010-06-30,2010,6,June,30,Wednesday,3,2,26,No,No
20100131,2010-01-31,2010,1,January,31,Sunday,0,1,4,Yes,No
20101212,2010-12-12,2010,12,December,12,Sunday,0,4,49,Yes,No
20110405,2011-04-05,2011,4,April,5,Tuesday,2,2,14,No,No
20110427,2011-04-27,2011,4,April,27,Wednesday,3,2,17,No,No
20110212,2011-02-12,2011,2,February,12,Saturday,6,1,6,Yes,No
20091102,2009-11-02,2009,11,November,2,Monday,1,4,45,No,No
20100322,2010-03-22,2010,3,March,22,Monday,1,1,12,No,No
20091211,2009-12-11,2009,12,December,11,Friday,5,4,50,No,No
20091025,2009-10-25,2009,10,October,25,Sunday,0,4,43,Yes,No
20100830,2010-08-30,2010,8,August,30,Monday,1,3,35,No,Yes
20100205,2010-02-05,2010,2,February,5,Friday,5,1,5,No,No
20101025,2010-10-25,2010,10,October,25,Monday,1,4,43,No,No
20100425,2010-04-25,2010,4,April,25,Sunday,0,2,16,Yes,No
20100615,2010-06-15,2010,6,June,15,Tuesday,2,2,24,No,No
20100204,2010-02-04,2010,2,February,4,Thursday,4,1,5,No,No
20091024,2009-10-24,2009,10,October,24,Saturday,6,4,43,Yes,No
20100302,2010-03-02,2010,3,March,2,Tuesday,2,1,9,No,No
20101111,2010-11-11,2010,11,November,11,Thursday,4,4,45,No,No
20091130,2009-11-30,2009,11,November,30,Monday,1,4,49,No,No
20100117,2010-01-17,2010,1,January,17,Sunday,0,1,2,Yes,No
20101126,2010-11-26,2010,11,November,26,Friday,5,4,47,No,No
20100924,2010-09-24,2010,9,September,24,Friday,5,3,38,No,No
20110504,2011-05-04,2011,5,May,4,Wednesday,3,2,18,No,No
20100809,2010-08-09,2010,8,August,9,Monday,1,3,32,No,No
20100309,2010-03-09,2010,3,March,9,Tuesday,2,1,10,No,No
20100221,2010-02-21,2010,2,February,21,Sunday,0,1,7,Yes,No
20110306,2011-03-06,2011,3,March,6,Sunday,0,1,9,Yes,No
20101225,2010-12-25,2010,12,December,25,Saturday,6,4,51,Yes,No
20100520,2010-05-20,2010,5,May,20,Thursday,4,2,20,No,No
20100801,2010-08-01,2010,8,August,1,Sunday,0,3,30,Yes,No
20100926,2010-09-26,2010,9,September,26,Sunday,0,3,38,Yes,No
20101008,2010-10-08,2010,10,October,8,Friday,5,4,40,No,No
20100422,2010-04-22,2010,4,April,22,Thursday,4,2,16,No,No
20101113,2010-11-13,2010,11,November,13,Saturday,6,4,45,Yes,No
20100906,2010-09-06,2010,9,September,6,Monday,1,3,36,No,No
20100430,2010-04-30,2010,4,April,30,Friday,5,2,17,No,No
20100808,2010-08-08,2010,8,August,8,Sunday,0,3,31,Yes,No
20091120,2009-11-20,2009,11,November,20,Friday,5,4,47,No,No
20101118,2010-11-18,2010,11,November,18,Thursday,4,4,46,No,No
20110218,2011-02-18,2011,2,February,18,Friday,5,1,7,No,No
20100714,2010-07-14,2010,7,July,14,Wednesday,3,3,28,No,No
20101023,2010-10-23,2010,10,October,23,Saturday,6,4,42,Yes,No
20100725,2010-07-25,2010,7,July,25,Sunday,0,3,29,Yes,No
20100629,2010-06-29,2010,6,June,29,Tuesday,2,2,26,No,No
20091103,2009-11-03,2009,11,November,3,Tuesday,2,4,45,No,No
20100105,2010-01-05,2010,1,January,5,Tuesday,2,1,1,No,No
